slug,name,action,entity_type,postcode,city,local_site
pleiades-instruments,Pleiades Instruments,keep,company,38000,Grenoble,
podcast-carnot-inside,Podcast Carnot Inside,reject,,,,
podcast-musique-et-sciences,Podcast Musique et Sciences,reject,,,,
pollen-metrology,POLLEN Metrology,keep,company,38430,Moirans,
polytec,Polytec,unflag,company,92320,Chatillon,1
poma,POMA,keep,corporate,38340,Voreppe,
position,Position,reject,,,,
poste-mcf-61-en-automatique,Poste MCF 61 en Automatique,reject,,,,
pour-l-article-gift,Pour l'article ''GIFT,reject,,,,
powering-world-class-research-with-tools,Powering world-class research with tools,reject,,,,
predictive-image,Predictive Image,keep,company,38340,Voreppe,
presto-engineering,Presto Engineering,keep,company,38000,Grenoble,
prix,Prix,reject,,,,
probayes,Probayes,keep,company,38330,Montbonnot,
professor-lucas-goehring,Professor Lucas Goehring,reject,,,,
projet-anr-molecui2,Projet ANR MolecUI2,reject,,,,
prophesee,Prophesee,keep,,,,1
proposals-can-be-submitted-all-year,Proposals can be submitted all year,reject,,,,
provisoire,Provisoire,reject,,,,
proximum-sarl,PROXIMUM SARL,unflag,company,92150,Suresnes,1
pts,PTS,keep,company,38190,Villard Bonnot,
publications-du-ljk,Publications du LJK,reject,,,,
pulsalys,PULSALYS,unflag,ecosystem_support,69625,Villeurbanne,1
pyxalis,Pyxalis,keep,company,38430,Moirans,
qleer-ai,Qleer.ai,unflag,company,26300,Alixan,1
rainmakers-partners,RAINMAKERS & Partners,keep,company,38000,Grenoble,
reactivip,Reactiv’IP,keep,company,38000,Grenoble,
reconcept,Reconcept,keep,company,38520,Le Bourg D'Oisans,
refroidir-sans-gaz,Refroidir sans gaz,reject,,,,
research,Research,reject,,,,
research-federation,research federation,reject,,,,
respirer-ensemble,Respirer ensemble,reject,,,,
reverto,Reverto,unflag,company,69002,Lyon,1
rfid-discovery,RFiD Discovery,keep,company,38240,Meylan,
riber,Riber,unflag,company,95870,Bezons,1
robot-de-type-icub,Robot de type iCub,reject,,,,
robust-deep-learning-for-eeg-decoding,Robust Deep Learning for EEG Decoding,reject,,,,
robustness,Robustness,reject,,,,
room-to-move,Room to move,reject,,,,
round-table,Round Table,reject,,,,
s2p-smart-plastic-products,S2P – Smart Plastic Products,unflag,company,01100,Bellignat,1
sadly,Sadly,reject,,,,
safenai,Safenai,unflag,company,75018,Paris,1
saint-etienne-metropole,Saint-Etienne Métropole,unflag,ecosystem_support,42000,Saint-Etienne,1
salle-d420,Salle D420,reject,,,,
salle-de-l-oriel,Salle de l'Oriel,reject,,,,
salle-e424,Salle E424,reject,,,,
salle-f418,Salle F418,reject,,,,
salle-jean-marc-chassery,Salle Jean-Marc Chassery,reject,,,,
salle-k223,Salle K223,reject,,,,
scalagent-d-t,ScalAgent D.T.,keep,company,38580,Allevard,
scalinx,SCALINX,unflag,company,75013,Paris,1
schneider-electric,Schneider Electric,keep,,,,1
schneider-electric-industries,Schneider Electric Industries,keep,corporate,38000,Grenoble,
science,Science,reject,,,,
scientific-courses,Scientific courses,reject,,,,
scientifiques,Scientifiques,reject,,,,
sealsq,SEALSQ,unflag,company,13590,Meyreuil,1
seccom,Seccom,unflag,company,69530,Brignais,1
selha-group,Selha Group,unflag,corporate,26000,Valence,1
sensors,Sensors,reject,,,,
serenicity,Serenicity,unflag,company,42000,Saint-Étienne,1
serpentinization-in-jezero-crater,Serpentinization in Jezero crater,reject,,,,
set-corporation,SET Corporation,unflag,company,74490,Saint-Jeoire,1
silent-waves,Silent Waves,keep,company,38100,Grenoble,
since-its-launch,Since its launch,reject,,,,
sipearl,SiPearl,keep,company,38000,Grenoble,
sma-rty,Sma-RTy,unflag,company,63178,Aubiere,1
smart-brain,Smart Brain,unflag,company,63000,Clermont-Ferrand,1
smile-r-d,SMILE R&D,unflag,company,92600,Asnières-Sur-Seine,1
smpgd-2026,SMPGD 2026,reject,,,,
sophie-gnanguy,Sophie Gnanguy,reject,,,,
specialized-in-industrial-maintenance,Specialized in industrial maintenance,reject,,,,
speedernet,Speedernet,unflag,company,69009,Lyon,1
spintec-is-jointly-operated-by-cea,SPINTEC is jointly operated by CEA,reject,,,,
stages-iut,Stages IUT,reject,,,,
start-in-france-2025,Start in France 2025,reject,,,,
steepulse,Steepulse,keep,company,38000,Grenoble,
stemmer-imaging,STEMMER IMAGING,unflag,company,84120,Pertuis,1
stmicroelectronics,STMicroelectronics,keep,,,,1
superwyze,Superwyze,unflag,company,69004,Lyon,1
surfaces,Surfaces,reject,,,,
surfaces-technologies,Surfaces Technologies,unflag,company,73800,Saint-Helene Du Lac,1
swiift-imaging,Swiift Imaging,unflag,company,69100,Villeurbanne,1
synabricks,Synabricks,unflag,company,63530,Volvic,1
synegram,Synegram,unflag,company,63100,Clermont-Ferrand,1
table-ronde,Table ronde,reject,,,,
taipro-engineering,Taipro Engineering,unflag,company,74440,Taninges,1
tasda,TASDA,keep,ecosystem_support,38028,Grenoble,
teamto-technology,TeamTO Technology,unflag,company,75011,Paris,1
teem-photonics,Teem Photonics,keep,company,38240,Meylan,
teledyne-e2v,Teledyne e2v,keep,corporate,38120,Saint Egreve,
textilia,Textil’IA,unflag,company,69009,Lyon,1
thales-group,Thales Group,unflag,corporate,92098,Paris La Defense,1
the-first-mag2pol-masterclass,The first Mag2Pol MasterClass,reject,,,,
the-ill-science-strategy,The ILL Science Strategy,reject,,,,
the-qa-company,The QA Company,unflag,company,42000,Saint Etienne,1
thelyos,Thélyos,keep,company,38000,Grenoble,
this-school-will-focus-on-control,This school will focus on control,reject,,,,
tiama,TIAMA,unflag,corporate,69230,Saint Genis Laval,1
tiempo-secure,Tiempo Secure,keep,company,38330,Montbonnot-Saint-Martin,
tihive,TiHive,keep,company,38000,Grenoble,
to-hire-a-collaborator,To hire a collaborator,reject,,,,
topology-in-the-many-body-spectrum,Topology in the many-body spectrum,reject,,,,
torso-da-livorno,Torso da Livorno,reject,,,,
torso-da-livourno,Torso da Livourno,reject,,,,
travailler-au-gipsa-lab,Travailler au GIPSA-Lab,reject,,,,
travaux-post-fukushima,Travaux post-Fukushima,reject,,,,
travel-assist,Travel Assist,unflag,company,42000,Saint-Étienne,1
tsn,TSN,reject,,,,
ubik,UBIK,keep,company,38320,Eybens,
ubiqube,UBiqube,keep,company,38130,Echirolles,
uca-universite-clermont-auvergne,UCA – Université Clermont Auvergne,unflag,research_education,63001,Clermont Ferrand,1
udimec,UDIMEC,keep,ecosystem_support,38024,Grenoble,
ui-investissement,UI Investissement,unflag,ecosystem_support,69760,Limonest,1
ultimately,Ultimately,reject,,,,
understanding-and-fostering-innovation,Understanding and fostering innovation,reject,,,,
unitysc,UnitySC,keep,company,38330,Montbonnot-Saint-Martin,
universite-jean-monnet-saint-etienne,Université Jean Monnet Saint-Etienne,unflag,research_education,42100,Saint Etienne,1
universite-savoie-mont-blanc-usmb,Université Savoie Mont Blanc (USMB),unflag,research_education,73000,Chambéry,1
upandgo,UPANDGO,unflag,company,69007,Lyon,1
user-manual,User manual,reject,,,,
uxp-corp,UXP Corp,unflag,company,42100,Saint Etienne,1
vademecom,VADEMECOM,reject,,,,
valence-romans-agglo,Valence Romans Agglo,unflag,ecosystem_support,26905,Valence,1
var-group,Var Group,unflag,corporate,13090,Aix-En-Provence,1
var-industries-s-a-s,Var Industries S.A.S,unflag,company,13090,Aix-En-Provence,1
vates,VATES,keep,company,38000,Grenoble,
veintree,Veintree,unflag,company,74250,Fillinges,1
verbatim-ai,Verbatim AI,keep,company,38850,Charavines,
viapix-systems,Viapix Systems,unflag,company,78280,Guyancourt,1
vichar-dta,Vichar – DTA,unflag,company,26200,Montélimar,1
vir,Vir,reject,,,,
visiativ-software,Visiativ Software,unflag,corporate,69260,Charbonnières-Les-Bains,1
vogo,VOGO,keep,company,38190,Bernin,
vous-organisez-une-manifestation,Vous organisez une manifestation,reject,,,,
vrtice,vrtice,keep,company,38330,Montbonnot-Saint-Martin,
vs-technology,VS Technology,keep,company,38000,Grenoble,
webinar-redtalks,Webinar RedTalks,reject,,,,
website-accessibility,Website accessibility,reject,,,,
welcoming-researchers,Welcoming researchers,reject,,,,
wikit,Wikit,unflag,company,69005,Lyon,1
with-mailing-tool,With mailing tool,reject,,,,
with-the-help-of-recently-published-work,With the help of recently published work,reject,,,,
worldgrid-france,Worldgrid FRANCE,keep,corporate,38027,Grenoble,
xenocs,Xenocs,keep,company,38000,Grenoble,
xyalis,XYALIS,keep,company,38000,Grenoble,
yona-robotics,Yona Robotics,keep,company,38330,Montbonnot Saint Martin,
zadient-technologies-sas,Zadient Technologies SAS,unflag,company,73800,Sainte-Hélène-Du-Lac,1
zce,ZCE,keep,company,38000,Grenoble,
zzzapp,Zzzapp,keep,company,38240,Meylan,
inovallee,Inovallée,flag,ecosystem_support,,,
spintec,SPINTEC,flag,research_education,,,
institut-neel,Institut Néel,flag,research_education,,,
clinatec,Clinatec,flag,research_education,,,
fonds-clinatec,Fonds Clinatec,flag,ecosystem_support,,,
tima,TIMA,flag,research_education,,,
miai,MIAI,flag,research_education,,,
verkor,Verkor,flag,company,,,
hrs,HRS,flag,company,,,
vencorex,Vencorex,flag,corporate,,,
renaissance-fusion,Renaissance Fusion,flag,company,,,
waga-energy,Waga Energy,flag,company,,,
rossignol,Rossignol,flag,corporate,,,
metropole-de-grenoble,Métropole de Grenoble,flag,ecosystem_support,,,
