slug,name,action,entity_type,postcode,city,local_site
chu-grenoble-alpes,CHU Grenoble Alpes,keep,research_education,38043,Grenoble,
cic-lyonnaise-de-banque,CIC Lyonnaise de Banque,keep,ecosystem_support,38000,Grenoble,
cinedia,CINEDIA,keep,company,38000,Grenoble,
ciridd,CIRIDD,unflag,ecosystem_support,42000,Saint-Étienne,1
cisteme,CISTEME,unflag,company,87068,Limoges,1
cleanpart-france,Cleanpart France,keep,company,38170,Seyssinet-Pariset,
clp-club-laser-et-procedes,CLP – Club Laser et Procédés,unflag,ecosystem_support,67400,Illkirch,1
cluster-lumiere,Cluster Lumière,unflag,ecosystem_support,69002,Lyon,1
cnrs-alpes,CNRS ALPES,keep,research_education,38042,Grenoble,
codeffekt,Codeffekt,keep,company,38110,La Tour-Du-Pin,
coffee,COFFEE,reject,,,,
cognition,Cognition,reject,,,,
communaute-dagglomeration-du-pays-voironnais,Communauté d’agglomération du Pays Voironnais,keep,ecosystem_support,38511,Voiron,
communaute-de-communes-le-gresivaudan,Communauté de communes Le Grésivaudan,keep,ecosystem_support,38926,Crolles,
comsol-france-sas,COMSOL France SAS,keep,company,38000,Grenoble,
continew,CONTINEW,unflag,company,42300,Roanne,1
coopventure,CoopVenture,unflag,ecosystem_support,69120,Vaulx-En-Velin,1
cortus-sas,CORTUS SAS,unflag,company,34130,Mauguio,1
cristal-innov,Cristal Innov,unflag,research_education,73800,Sainte Helene Du Lac,1
cross-data,Cross Data,unflag,company,49100,Angers,1
cs-20156,CS 20156,reject,,,,
cs-technologies,CS Technologies,unflag,company,69620,Saint-Vérand,1
d-a-t-e-developpement-et-application-des-techniques-de-lenergie,D.A.T.E (Développement et Application des Techniques de l’Energie),keep,company,38770,La Motte-D'Aveillans,
dab,DAB,reject,,,,
data-science-experts-dse,Data Science Experts (DSE),keep,company,38000,Grenoble,
de-la-start-up-au-grand-groupe,De la start-up au grand groupe,reject,,,,
defacto-technologies,DeFacto Technologies,keep,company,38000,Grenoble,
delta-concept,Delta Concept,keep,company,38120,Saint Egreve,
depuis-19-ans,Depuis 19 ans,reject,,,,
depuis-dix-ans,Depuis dix ans,reject,,,,
depuis-plus-de-30-ans,Depuis plus de 30 ans,reject,,,,
des-insectes-aux-microalgues,Des insectes aux microalgues,reject,,,,
designers,Designers+,unflag,ecosystem_support,42000,Saint Etienne,1
digigram,Digigram,keep,company,38330,Montbonnot Saint Martin,
digital-league,DIGITAL LEAGUE,unflag,ecosystem_support,69002,Lyon,1
discover-the-video-of-astriis,Discover the video of Astriis,reject,,,,
dm-engineering,DM Engineering,unflag,company,69330,Meyzieu,1
dolphin-semiconductor,Dolphin Semiconductor,keep,company,38240,Meylan,
doors-photonics,DOORS Photonics,keep,company,38000,Grenoble,
dracula-technologies,DRACULA Technologies,unflag,company,26000,Valence,1
dsv-le-domaine-skiable-de-valmorel,DSV – LE DOMAINE SKIABLE DE VALMOREL,unflag,company,73260,Valmorel,1
du-12-au-17-octobre-2026,Du 12 au 17 octobre 2026,reject,,,,
du-15-au-17-septembre,Du 15 au 17 septembre,reject,,,,
e-mail,E-mail,reject,,,,
e-re-c-a-ingenierie-en-electronique-et-informatique-embarquee,E.RE.C.A Ingénierie en électronique et informatique embarquée,unflag,company,69120,Vaulx-En-Velin,1
e2i-solutions,E2I Solutions,unflag,company,26190,Saint Nazaire En Royans,1
easii-ic,EASii IC,keep,company,38100,Grenoble,
ece-ecole-dingenieurs,ECE – Ecole d’Ingénieurs,unflag,research_education,69367,Lyon,1
ecm-greentech-engineering,ECM Greentech Engineering,keep,company,38800,Le Pont De Claix,
ecole-des-mines-de-saint-etienne,École des Mines de Saint-Étienne,unflag,research_education,42100,Saint Etienne,1
ecp-cleaning,ECP Cleaning,unflag,company,34740,Vendargues,1
ecrin-systems,ECRIN Systems,keep,company,38920,Crolles,
egis-industrie-et-process,Egis Industrie et Process,keep,company,38400,Saint-Martin-D'Hères,
elecsyor,Elecsyor,unflag,company,69006,Lyon,1
elethic,Elethic,keep,company,38120,Saint Egreve,
elpack-pharel,Elpack Pharel,unflag,company,26000,Valence,1
emg2,EMG2,unflag,company,91140,Villebon-Sur-Yvette,1
emotive-muzik,Emotive Muzik,unflag,company,74000,Annecy,1
emplois,Emplois,reject,,,,
employed,Employed,reject,,,,
en-avril-2026,En avril 2026,reject,,,,
en-core,en-core,unflag,company,73110,La Chapelle-Blanche,1
enerbee-technology,Enerbee Technology,keep,company,38000,Grenoble,
energie,Energie,reject,,,,
engineering,Engineering,reject,,,,
engo,ENGO,keep,company,38000,Grenoble,
equalis-consulting,EQUALIS Consulting,keep,company,38800,Champagnier,
erwan-jahier,Erwan Jahier,reject,,,,
esrf,ESRF,keep,research_education,,,
etablissements-pennacchiotti,Etablissements PENNACCHIOTTI,keep,company,38240,Meylan,
eumetrys,EUMETRYS,unflag,company,81600,Gaillac,1
euris-sas,Euris SAS,keep,company,38140,Apprieu,
euronext,EURONEXT,unflag,ecosystem_support,69289,Lyon,1
europe-wide,Europe-wide,reject,,,,
evaveo,EVAVEO,unflag,company,69370,Saint-Didier-Au-Mont-D'Or,1
exanodia,Exanodia,unflag,company,69800,Saint Priest,1
excelleria,ExcellerIA,unflag,company,34000,Montpellier,1
expertise-vision,Expertise Vision,unflag,company,74300,Thyez,1
exyte-france,EXYTE France,unflag,company,69007,Lyon,1
ey-france-agence-de-lyon,EY France – Agence de Lyon,unflag,corporate,69003,Lyon,1
faactopi,Faactopi,unflag,company,69100,Villeurbanne,1
family,FAMILY,reject,,,,
fasem-school-at-ill,FASEM school at ILL,reject,,,,
faure-qei,Faure QEI,keep,company,38400,Saint-Martin-D'Hères,
femmes-et-sciences,Femmes et sciences,reject,,,,
ferroelectric-memory-company,Ferroelectric Memory Company,keep,company,38000,Grenoble,
fhelab,FHElab,unflag,company,69003,Lyon,1
fibercryst,Fibercryst,unflag,company,69150,Decines-Charpieu,1
ficha,Ficha,keep,company,38000,Grenoble,
fidle-is-a-free,FIDLE is a free,reject,,,,
fieldcloud,FIELDCLOUD,keep,company,38700,La Tronche,
films,Films,reject,,,,
fleetiz,Fleetiz,unflag,company,69003,Lyon,1
fluidy,Fluidy,unflag,company,63200,Riom,1
foliascope,FOLIASCOPE,unflag,company,26500,Bourg-Les-Valence,1
for-innovation-in-microtechnologies,FOR INNOVATION IN MICROTECHNOLOGIES,reject,,,,
for-the-first-time,For the first time,reject,,,,
foreis,FOREIS,unflag,ecosystem_support,75016,Paris,1
formations,Formations,reject,,,,
fractali,Fractali,keep,company,38330,Montbonnot-Sant-Martin,
framatome-sas,Framatome SAS,unflag,corporate,92400,Courbevoie,1
from-monday-september-07,From Monday September 07,reject,,,,
from-thursday-april-09,From Thursday April 09,reject,,,,
from-tuesday-april-07,From Tuesday April 07,reject,,,,
from-tuesday-april-28,From Tuesday April 28,reject,,,,
from-tuesday-june-09,From Tuesday June 09,reject,,,,
from-tuesday-june-23,From Tuesday June 23,reject,,,,
from-tuesday-june-30,From Tuesday June 30,reject,,,,
from-wednesday-april-08,From Wednesday April 08,reject,,,,
from-wednesday-may-06,From Wednesday May 06,reject,,,,
from-wednesday-november-18,From Wednesday November 18,reject,,,,
from-wednesday-september-02,From Wednesday September 02,reject,,,,
full-electronic-system,Full Electronic System,keep,company,38130,Echirolles,
fyyyre,Fyyyre,unflag,company,01700,Miribel,1
galeon,Galeon,unflag,company,74940,Annecy,1
geg-experts,GEG Experts,unflag,company,45100,Orléans,1
gem-alpine-business-school,GEM Alpine Business School,keep,research_education,38000,Grenoble,
geolithe-innov,Geolithe Innov,keep,company,38920,Crolles,
gilles-pernod,Gilles Pernod,reject,,,,
ginger-burgeap,Ginger BURGEAP,unflag,corporate,69425,Lyon,1
gleam,Gleam,unflag,company,01430,Saint-Martin-Du-Frêne,1
go2market,Go2Market,unflag,company,26700,Pierrelatte,1
golana-computing,Golana Computing,keep,company,38000,Grenoble,
goodfloow,Goodfloow,unflag,company,44600,Saint-Nazaire,1
